epoch,train_loss,train_ADE_px,train_FDE_px,val_loss,val_ADE_px,val_FDE_px,lr,tf_ratio
1,3.50845522,5.72159530,12.90165348,5.49116019,9.11346841,21.98192184,0.00112989,0.62633716
2,2.01099542,3.30700426,8.55298399,4.48263720,7.28118919,15.69257521,0.00111656,0.60367970
3,1.45861049,2.41515790,6.53398684,4.16789434,6.76952364,15.08656093,0.00109456,0.58102224
4,1.25994757,2.09560327,5.53907425,4.80797173,7.78104605,16.53298408,0.00106426,0.55836479
5,1.12194781,1.87086513,4.81450944,3.72006288,6.08153897,13.09516929,0.00102613,0.53570733
6,1.06827355,1.78320730,4.54442119,3.80847727,6.16433438,13.44503363,0.00098077,0.51304987
7,1.03113245,1.72099909,4.25244923,4.68758952,7.43672354,16.78224370,0.00092889,0.49039241
8,1.00519404,1.67795257,3.98907702,4.12669450,6.88318229,14.48665838,0.00087132,0.46773495
9,0.97495520,1.62924553,3.88230497,3.99887863,6.42849480,14.55004190,0.00080896,0.44507749
10,0.94683070,1.58246903,3.62952486,3.65021675,6.09111815,13.45776894,0.00074279,0.42242003
11,0.92676908,1.55053467,3.52558015,4.06649547,6.79798075,16.17272985,0.00067386,0.39976257
12,0.91316259,1.52953642,3.50938132,3.63158860,5.91669310,12.64895572,0.00060326,0.37710511
13,0.93478440,1.56359259,3.44718947,4.39846214,7.31377676,17.11150109,0.00053210,0.35444765
14,0.95850986,1.60283310,3.45462445,3.67981296,6.10982210,13.10647788,0.00046149,0.33179019
15,1.01276117,1.68241539,3.55066719,3.23392526,5.43402712,11.67389836,0.00039257,0.30913273
16,0.96378829,1.60668888,3.25801252,3.16601785,5.28084501,11.13708565,0.00032640,0.28647527
17,0.99996605,1.66384413,3.34470165,3.36165687,5.71575267,12.41946403,0.00026404,0.26381781
18,1.05530070,1.75388723,3.44448741,3.19510365,5.39190002,11.42435874,0.00020646,0.24116035
19,1.01592235,1.68702619,3.32990308,3.34148877,5.56848586,12.01631416,0.00015459,0.21850289
20,1.05606618,1.75402580,3.50102061,3.14757131,5.27423711,11.08175986,0.00010923,0.19584543
21,1.12008716,1.86241811,3.42994743,3.13778030,5.26157115,11.27821246,0.00007109,0.17318797
22,1.18618069,1.96552073,3.31801593,3.04908348,5.12962676,10.77607984,0.00004079,0.15053051
23,1.27289108,2.10740165,3.99320973,3.04355808,5.11982201,10.85127115,0.00001880,0.12787305
24,1.37920454,2.28697549,3.91067798,3.03174846,5.11443929,10.76395214,0.00000547,0.10521559
25,1.40681191,2.32727293,4.32839304,3.00592295,5.06131791,10.64759528,0.00000100,0.08255813
