ts_start,ts_end,latency_ms,stage,gpu,frame,warmup
1761041705.9126837,1761041705.9207828,8.099,frame_read,False,0,True
1761041742.526052,1761041742.5375261,11.474,bev_warp,False,0,True
1761041742.6413794,1761041744.7190514,2077.672,detect_yolo,True,0,True
1761041744.7340617,1761041744.7340617,0.0,track_bytetrack,False,0,1,True
1761041744.7350647,1761041744.9287448,193.68,cls_turn,True,0,1,True
1761041744.9297466,1761041745.0093634,79.617,cls_brake,True,0,1,True
1761041745.0233736,1761041745.1499724,126.599,traj_predict,True,1,30
1761041745.1853335,1761041745.2033417,18.008,video_write,False,0,True
1761041745.2033417,1761041745.2103474,7.006,frame_read,False,1,True
1761041745.211348,1761041745.2123475,0.999,bev_warp,False,1,True
1761041745.2158604,1761041745.2408843,25.024,detect_yolo,True,1,True
1761041745.2418852,1761041745.2418852,0.0,track_bytetrack,False,1,0,True
1761041745.250401,1761041745.2523997,1.999,video_write,False,1,True
1761041745.2539036,1761041745.2539036,0.0,frame_read,False,2,True
1761041745.2544076,1761041745.2564185,2.011,bev_warp,False,2,True
1761041745.2594192,1761041745.2765026,17.083,detect_yolo,True,2,True
1761041745.277501,1761041745.277501,0.0,track_bytetrack,False,2,0,True
1761041745.2857342,1761041745.286737,1.003,video_write,False,2,True
1761041745.2877345,1761041745.2877345,0.0,frame_read,False,3,True
1761041745.288735,1761041745.2897348,1.0,bev_warp,False,3,True
1761041745.2927344,1761041745.309761,17.027,detect_yolo,True,3,True
1761041745.3117611,1761041745.320272,8.511,track_bytetrack,False,3,1,True
1761041745.3212712,1761041745.3382947,17.024,cls_turn,True,3,1,True
1761041745.339297,1761041745.3468087,7.512,cls_brake,True,3,1,True
1761041745.3478088,1761041745.4118958,64.087,traj_predict,True,1,30
1761041745.426913,1761041745.4279127,1.0,video_write,False,3,True
1761041745.4279127,1761041745.4289134,1.001,frame_read,False,4,True
1761041745.4299138,1761041745.431914,2.0,bev_warp,False,4,True
1761041745.4344978,1761041745.4480047,13.507,detect_yolo,True,4,True
1761041745.4490047,1761041745.4490047,0.0,track_bytetrack,False,4,0,True
1761041745.460019,1761041745.4610186,0.999,video_write,False,4,True
1761041745.4610186,1761041745.4620187,1.0,frame_read,False,5,True
1761041745.4620187,1761041745.4645276,2.509,bev_warp,False,5,True
1761041745.4675276,1761041745.4827404,15.213,detect_yolo,True,5,True
1761041745.4837403,1761041745.4842436,0.503,track_bytetrack,False,5,1,True
1761041745.485248,1761041745.4997566,14.508,cls_turn,True,5,1,True
1761041745.5007567,1761041745.5082648,7.508,cls_brake,True,5,1,True
1761041745.509265,1761041745.5643146,55.05,traj_predict,True,1,30
1761041745.5788248,1761041745.5798252,1.0,video_write,False,5,True
1761041745.5808256,1761041745.5808256,0.0,frame_read,False,6,True
1761041745.581826,1761041745.5843349,2.509,bev_warp,False,6,True
1761041745.5883403,1761041745.6008499,12.51,detect_yolo,True,6,True
1761041745.60185,1761041745.60185,0.0,track_bytetrack,False,6,1,True
1761041745.603353,1761041745.6163788,13.026,cls_turn,True,6,1,True
1761041745.6163788,1761041745.6238825,7.504,cls_brake,True,6,1,True
1761041745.6258867,1761041745.6635494,37.663,traj_predict,True,1,30
1761041745.6800635,1761041745.681064,1.0,video_write,False,6,True
1761041745.682063,1761041745.682063,0.0,frame_read,False,7,True
1761041745.683567,1761041745.6855707,2.004,bev_warp,False,7,True
1761041745.6895716,1761041745.7020843,12.513,detect_yolo,True,7,True
1761041745.7035892,1761041745.7035892,0.0,track_bytetrack,False,7,1,True
1761041745.7045941,1761041745.7171066,12.512,cls_turn,True,7,1,True
1761041745.7181098,1761041745.7236106,5.501,cls_brake,True,7,1,True
1761041745.725615,1761041745.763297,37.682,traj_predict,True,1,30
1761041745.7794502,1761041745.7804496,0.999,video_write,False,7,True
1761041745.7814484,1761041745.7814484,0.0,frame_read,False,8,True
1761041745.7824497,1761041745.784654,2.204,bev_warp,False,8,True
1761041745.789658,1761041745.8017743,12.116,detect_yolo,True,8,True
1761041745.8032773,1761041745.8032773,0.0,track_bytetrack,False,8,1,True
1761041745.8042822,1761041745.815794,11.512,cls_turn,True,8,1,True
1761041745.8167944,1761041745.821795,5.001,cls_brake,True,8,1,True
1761041745.8243039,1761041745.851829,27.525,traj_predict,True,1,30
1761041745.8674624,1761041745.868462,1.0,video_write,False,8,True
1761041745.869462,1761041745.869462,0.0,frame_read,False,9,True
1761041745.8714643,1761041745.8734627,1.998,bev_warp,False,9,True
1761041745.876973,1761041745.8904893,13.516,detect_yolo,True,9,True
1761041745.8914886,1761041745.8914886,0.0,track_bytetrack,False,9,1,True
1761041745.8924909,1761041745.9075074,15.017,cls_turn,True,9,1,True
1761041745.9085095,1761041745.9140105,5.501,cls_brake,True,9,1,True
1761041745.91602,1761041745.9436853,27.665,traj_predict,True,1,30
1761041745.959239,1761041745.96124,2.001,video_write,False,9,True
1761041745.96124,1761041745.96124,0.0,frame_read,False,10,True
1761041745.9622402,1761041745.9647489,2.509,bev_warp,False,10,True
1761041745.9687526,1761041745.9812667,12.514,detect_yolo,True,10,True
1761041745.9822674,1761041745.9822674,0.0,track_bytetrack,False,10,1,True
1761041745.9837723,1761041745.9962938,12.522,cls_turn,True,10,1,True
1761041745.9972932,1761041746.004652,7.359,cls_brake,True,10,1,True
1761041746.0066562,1761041746.0306861,24.03,traj_predict,True,1,30
1761041746.0474803,1761041746.04848,1.0,video_write,False,10,True
1761041746.0494807,1761041746.0494807,0.0,frame_read,False,11,True
1761041746.0514805,1761041746.0534797,1.999,bev_warp,False,11,True
1761041746.0572093,1761041746.0697224,12.513,detect_yolo,True,11,True
1761041746.0707228,1761041746.0707228,0.0,track_bytetrack,False,11,1,True
1761041746.0717223,1761041746.0847387,13.016,cls_turn,True,11,1,True
1761041746.0847387,1761041746.0897422,5.003,cls_brake,True,11,1,True
1761041746.0917418,1761041746.1162736,24.532,traj_predict,True,1,30
1761041746.1307826,1761041746.1317823,1.0,video_write,False,11,True
1761041746.1317823,1761041746.1317823,0.0,frame_read,False,12,True
1761041746.1332872,1761041746.1352918,2.005,bev_warp,False,12,True
1761041746.1402953,1761041746.1533067,13.011,detect_yolo,True,12,True
1761041746.15431,1761041746.155311,1.001,track_bytetrack,False,12,2,True
